resource.id,title,description,meta.lastUpdated,target.reference,target.path,recorded,agent.who.reference,agent.role.system,agent.role.code,agent.type.system,agent.type.code,activity.system,activity.code,entity0.role,entity0.what.reference
example-healthconnect-provenance-1,HC Provenance Example: Practitioner Name Amendment,Demonstrates provenance tracking for a practitioner's name amendment conforming to the HC Provenance profile.,2025-09-15T14:30:15+10:00,Practitioner/example-healthconnect-practitioner-1,name[0].family,2025-09-15T14:30:15.123+10:00,Organization/example-healthconnect-organization-1,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-1
example-healthconnect-provenance-2,HC Provenance Example: Practitioner Phone Amendment,Demonstrates provenance tracking for a practitioner's phone number amendment conforming to the HC Provenance profile.,2025-09-15T14:30:15+10:00,Practitioner/example-healthconnect-practitioner-1,telecom.where(system='phone').value,2025-09-15T14:30:15.123+10:00,Organization/example-healthconnect-organization-1,,AMENDER,,author,,UPDATE,source,Practitioner/example-healthconnect-practitioner-1
example-healthconnect-provenance-3,HC Provenance Example: Practitioner Address Amendment,Demonstrates provenance tracking for a practitioner address update.,2025-09-16T09:21:10+10:00,Practitioner/example-healthconnect-practitioner-2,address[0].line[0],2025-09-16T09:21:10.100+10:00,Organization/example-healthconnect-organization-2,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-2
example-healthconnect-provenance-4,HC Provenance Example: Practitioner Identifier Amendment,Demonstrates provenance tracking for a practitioner identifier update.,,Practitioner/example-healthconnect-practitioner-3,identifier[0].value,2025-09-16T11:05:49.200+10:00,Organization/example-healthconnect-organization-3,,AMENDER,,author,,UPDATE,source,Practitioner/example-healthconnect-practitioner-3
example-healthconnect-provenance-5,HC Provenance Example: Practitioner Gender Amendment,Demonstrates provenance tracking for a practitioner gender update.,2025-09-16T13:42:03+10:00,Practitioner/example-healthconnect-practitioner-4,gender,2025-09-16T13:42:03.321+10:00,Organization/example-healthconnect-organization-4,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-4
example-healthconnect-provenance-6,HC Provenance Example: General Practitioner Amendment,Provenance tracking an amendment for Dr Oliver Bennett.,2025-09-06T14:30:15+10:00,Practitioner/example-healthconnect-practitioner-6,photo[0].url,2025-09-06T14:30:15.100+10:00,Organization/example-healthconnect-organization-6,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-6
example-healthconnect-provenance-7,HC Provenance Example: Physiotherapist Amendment,Provenance tracking an amendment for Dr Sophie Clarke.,2025-09-07T14:30:15+10:00,Practitioner/example-healthconnect-practitioner-7,qualification[0].code.text,2025-09-07T14:30:15.100+10:00,Organization/example-healthconnect-organization-7,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-7
example-healthconnect-provenance-8,HC Provenance Example: Registered Nurse Amendment,Provenance tracking an amendment for Mr Ethan Walsh.,2025-09-08T14:30:15+10:00,Practitioner/example-healthconnect-practitioner-8,name[0].family,2025-09-08T14:30:15.100+10:00,Organization/example-healthconnect-organization-8,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-8
example-healthconnect-provenance-9,HC Provenance Example: Psychologist Amendment,Provenance tracking an amendment for Dr Grace Turner.,2025-09-09T14:30:15+10:00,Practitioner/example-healthconnect-practitioner-9,telecom.where(system='phone').value,2025-09-09T14:30:15.100+10:00,Organization/example-healthconnect-organization-9,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-9
example-healthconnect-provenance-10,HC Provenance Example: Medical Practitioner Amendment,Provenance tracking an amendment for A/Prof Noah Fisher.,2025-09-10T14:30:15+10:00,Practitioner/example-healthconnect-practitioner-10,address[0].line[0],2025-09-10T14:30:15.100+10:00,Organization/example-healthconnect-organization-10,http://terminology.hl7.org/CodeSystem/contractsignertypecodes,AMENDER,http://terminology.hl7.org/CodeSystem/provenance-participant-type,author,http://terminology.hl7.org/CodeSystem/v3-DataOperation,UPDATE,source,Practitioner/example-healthconnect-practitioner-10
