resource.id,name,meta.lastUpdated,identifier.hpio.value,hpio.coding.display,hpio.coding.code,identifier.hpio.extension.HCOrgClassification.display,identifier.abn.value,identifier.acn.value,alias,address.line,address.city,address.state,address.postalCode,address.country,telecom.system1,telecom.value1,telecom.use1,telecom.system2,telecom.value2,telecom.use2,telecom.system3,telecom.value3,telecom.use3,telecom.system4,telecom.value4,telecom.use4,telecom.system5,telecom.value5,telecom.use5,telecom.system6,telecom.value6,telecom.use6,endpoint.reference,endpoint2.reference
example-healthconnect-organization-1,Canberra General Hospital,2025-08-30T09:15:00Z,8003621234567892,Network,network,General Acute Care Hospital,51824753556,004085616,CanGen,123 Main St,Canberra,ACT,2601,AU,phone,61500000,work,phone,61500001,work,url,https://cangeneralhospital.example.au,work,fax,61500003,work,,,,,,,Endpoint/example-healthconnect-endpoint-1,
example-healthconnect-organization-2,Metro Family Clinic,2025-09-01T08:20:00Z,8003621234567900,Network,network,Primary Care Network,84623612215,149812348,MetroClinic,250 George Street,Sydney,NSW,2000,AU,phone,0290012200,work,email,contact@metroclinic.example.au,work,url,https://metroclinic.example.au,work,,,,,,,,,,Endpoint/example-healthconnect-endpoint-2,
example-healthconnect-organization-3,Coastal Allied Health,2025-09-02T11:45:00Z,8003621234567918,Network,network,Allied Health Group,53004085616,120045678,CoastalAH,18 Marine Parade,Wollongong,NSW,2500,AU,phone,0242203300,work,email,hello@coastalallied.example.au,work,url,https://coastalallied.example.au,work,phone,0242203399,work,,,,,,,Endpoint/example-healthconnect-endpoint-3,
example-healthconnect-organization-4,Riverlands Community Health,2025-09-03T13:10:00Z,8003621234567926,Network,network,Community Health Service,94062033672,094513289,Riverlands,72 Murray Ave,Albury,NSW,2640,AU,phone,0263605100,work,email,info@riverlands.example.au,work,,,,,,,,,,,,,Endpoint/example-healthconnect-endpoint-4,
example-healthconnect-organization-5,Western Mental Health Hub,2025-09-04T16:55:00Z,8003621234567934,Network,network,Mental Health Service,92659891895,615440001,WestMind,300 High Street,Dubbo,NSW,2830,AU,phone,0268802200,work,email,support@westmind.example.au,work,url,https://westmind.example.au,work,fax,0268802209,work,phone,0268802210,work,,,,Endpoint/example-healthconnect-endpoint-5,
example-healthconnect-organization-6,Northern Rivers Medical Group,2025-09-06T09:00:00Z,8003621043321812,Network,network,Mental Health Service,96001338908,386379402,NthRivers,12 Tweed Street,Lismore,NSW,2480,AU,phone,0765423511,work,email,contact@nthrivers.example.au,work,url,https://nthrivers.example.au,work,,,,,,,,,,Endpoint/example-healthconnect-endpoint-6,
example-healthconnect-organization-7,Sunshine Coast Health Partners,2025-09-07T09:00:00Z,8003626155940788,Network,network,Mental Health Service,16184959310,341316475,SunCoast,88 Ocean Boulevard,Maroochydore,QLD,4558,AU,phone,0355341928,work,email,contact@suncoast.example.au,work,url,https://suncoast.example.au,work,,,,,,,,,,Endpoint/example-healthconnect-endpoint-7,
example-healthconnect-organization-8,Adelaide Hills Family Practice,2025-09-08T09:00:00Z,8003623276483509,Network,network,Mental Health Service,30564139537,672423884,AdlHills,5 Stirling Road,Stirling,SA,5152,AU,phone,0796965328,work,email,contact@adlhills.example.au,work,url,https://adlhills.example.au,work,,,,,,,,,,Endpoint/example-healthconnect-endpoint-8,
example-healthconnect-organization-9,Perth Metro Medical Centre,2025-09-09T09:00:00Z,8003627101226918,Network,network,Mental Health Service,66978480184,514627048,PerthMetro,210 Hay Street,Perth,WA,6000,AU,phone,0828148932,work,email,contact@perthmetro.example.au,work,url,https://perthmetro.example.au,work,,,,,,,,,,Endpoint/example-healthconnect-endpoint-9,
example-healthconnect-organization-10,Geelong Bayside Clinic,2025-09-10T09:00:00Z,8003625288095700,Network,network,Mental Health Service,15430391171,822782489,GeelongBay,34 Malop Street,Geelong,VIC,3220,AU,phone,0538346578,work,email,contact@geelongbay.example.au,work,url,https://geelongbay.example.au,work,,,,,,,,,,Endpoint/example-healthconnect-endpoint-10,
