resource.id,usage,title,description,meta.lastUpdated,status,identifier.HCSourceIdentifier.system,identifier.HCSourceIdentifier.value,identifier.type,identifier.type.text,identifier.system,identifier.value,name,alias,address.extension.url,address.valueIdentifier.type,address.valueIdentifier.type.text,address.valueIdentifier.system,address.valueIdentifier.value,address.type,address.text,address.line1,address.city,address.state,address.postalCode,address.country,position.longitude,position.latitude,extension.url1,extension.valueAddress.use,extension.valueAddress.type,managingOrganization,identifier.type.coding.system,identifier.type.coding.code,type.coding.system,type.coding.code,type.coding.display,address.line2
example-healthconnect-location-1,Location,HC Location Example: Mobile Healthcare Unit,Mobile healthcare unit location example conforming to the HC Location profile.,2025-09-01T14:45:30Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-001,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC001,Mobile Healthcare Unit - Sydney CBD,CBD Mobile Unit,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW718473771,#physical,Shop 8 151 Castlereagh Street SYDNEY NSW 2000,Shop 8,SYDNEY,NSW,2000,AU,151.2093,-33.8688,http://digitalhealth.gov.au/fhir/hcpd/StructureDefinition/hcpd-alternate-postal-address,#work,#postal,Organization/example-healthconnect-organization-1,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MOBL,Mobile Unit,151 Castlereagh Street
example-healthconnect-location-2,Location,HC Location Example: Metro Clinic,Metro clinic location with alternate postal address.,2025-09-02T09:12:00Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-002,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC002,Metro Family Clinic,Sydney Metro,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0002002,#physical,250 George Street Sydney NSW 2000,250 George Street,Sydney,NSW,2000,AU,151.2066,-33.8677,http://digitalhealth.gov.au/fhir/hcpd/StructureDefinition/hcpd-alternate-postal-address,#work,#postal,Organization/example-healthconnect-organization-2,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,OF,Outpatient facility,
example-healthconnect-location-3,Location,HC Location Example: Coastal Clinic,Coastal allied health location.,2025-09-03T10:05:00Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-003,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC003,Coastal Allied Health Clinic,Coastal AH,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0003003,#physical,18 Marine Parade Wollongong NSW 2500,18 Marine Parade,Wollongong,NSW,2500,AU,150.8931,-34.4278,,,,Organization/example-healthconnect-organization-3,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,OF,Outpatient facility,
example-healthconnect-location-4,Location,HC Location Example: Community Hub,Regional community health service location.,2025-09-04T07:55:00Z,inactive,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-004,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC004,Riverlands Community Health Hub,River Hub,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0004004,#physical,72 Murray Ave Albury NSW 2640,72 Murray Ave,Albury,NSW,2640,AU,146.9120,-36.0737,http://digitalhealth.gov.au/fhir/hcpd/StructureDefinition/hcpd-alternate-postal-address,#work,#postal,Organization/example-healthconnect-organization-4,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HOSP,Hospital,
example-healthconnect-location-5,Location,HC Location Example: Western Outreach,Western outreach service location with minimal optional values.,2025-09-05T15:20:00Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-005,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC005,Western Outreach Point,,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0005005,#physical,300 High Street Dubbo NSW 2830,300 High Street,Dubbo,NSW,2830,AU,148.6011,-32.2569,,,,Organization/example-healthconnect-organization-5,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,OF,Outpatient facility,Suite 8
example-healthconnect-location-6,Location,HC Location Example: NthRivers,Primary site for Northern Rivers Medical Group.,2025-09-06T11:00:00Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-006,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC006,Northern Rivers Medical Group Site,NthRivers,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0000006,#physical,12 Tweed Street Lismore NSW 2480,12 Tweed Street,Lismore,NSW,2480,AU,148.6011,-32.2569,,,,Organization/example-healthconnect-organization-6,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MOBL,Mobile Unit,
example-healthconnect-location-7,Location,HC Location Example: SunCoast,Primary site for Sunshine Coast Health Partners.,2025-09-07T11:00:00Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-007,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC007,Sunshine Coast Health Partners Site,SunCoast,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0000007,#physical,88 Ocean Boulevard Maroochydore QLD 4558,88 Ocean Boulevard,Maroochydore,QLD,4558,AU,148.6011,-32.2569,,,,Organization/example-healthconnect-organization-7,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,COMM,Community Location,
example-healthconnect-location-8,Location,HC Location Example: AdlHills,Primary site for Adelaide Hills Family Practice.,2025-09-08T11:00:00Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-008,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC008,Adelaide Hills Family Practice Site,AdlHills,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0000008,#physical,5 Stirling Road Stirling SA 5152,5 Stirling Road,Stirling,SA,5152,AU,148.6011,-32.2569,,,,Organization/example-healthconnect-organization-8,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,OF,Outpatient facility,
example-healthconnect-location-9,Location,HC Location Example: PerthMetro,Primary site for Perth Metro Medical Centre.,2025-09-09T11:00:00Z,active,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-009,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC009,Perth Metro Medical Centre Site,PerthMetro,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0000009,#physical,210 Hay Street Perth WA 6000,210 Hay Street,Perth,WA,6000,AU,148.6011,-32.2569,,,,Organization/example-healthconnect-organization-9,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HOSP,Hospital,
example-healthconnect-location-10,Location,HC Location Example: GeelongBay,Primary site for Geelong Bayside Clinic.,2025-09-10T11:00:00Z,inactive,http://ns.electronichealth.net.au/id/source/pca,LOC-PCA-010,http://terminology.hl7.org/CodeSystem/v2-0203#NATA,NATA Site Number,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,LOC010,Geelong Bayside Clinic Site,GeelongBay,http://hl7.org.au/fhir/StructureDefinition/address-identifier,http://terminology.hl7.org/CodeSystem/v2-0203#G-NAF,G-NAF,http://hl7.org.au/id/gnafidentifier,GANSW0000010,#physical,34 Malop Street Geelong VIC 3220,34 Malop Street,Geelong,VIC,3220,AU,148.6011,-32.2569,,,,Organization/example-healthconnect-organization-10,http://terminology.hl7.org/CodeSystem/v2-0203,XX,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MOBL,Mobile Unit,
