resource.id,meta.lastUpdated,status,name,address.line1,address.line2,address.city,address.state,address.postalCode,address.country,managingOrganization.reference
example-healthconnect-coverage-area-1,2025-09-01T10:00:00Z,active,Sydney CBD Catchment,151 Castlereagh Street,,Sydney,NSW,2000,AU,Organization/example-healthconnect-organization-1
example-healthconnect-coverage-area-2,2025-09-02T10:00:00Z,active,Metro Inner West Catchment,250 George Street,Suite 2,Sydney,NSW,2000,AU,Organization/example-healthconnect-organization-2
example-healthconnect-coverage-area-3,2025-09-03T10:00:00Z,active,South Coast Catchment,18 Marine Parade,,Wollongong,NSW,2500,AU,Organization/example-healthconnect-organization-3
example-healthconnect-coverage-area-4,2025-09-04T10:00:00Z,active,Riverlands Regional Catchment,72 Murray Ave,,Albury,NSW,2640,AU,Organization/example-healthconnect-organization-4
example-healthconnect-coverage-area-5,2025-09-05T10:00:00Z,active,Western Plains Catchment,300 High Street,Suite 8,Dubbo,NSW,2830,AU,Organization/example-healthconnect-organization-5
example-healthconnect-coverage-area-6,2025-09-06T10:00:00Z,active,Lismore Catchment,12 Tweed Street,,Lismore,NSW,2480,AU,Organization/example-healthconnect-organization-6
example-healthconnect-coverage-area-7,2025-09-07T10:00:00Z,active,Maroochydore Catchment,88 Ocean Boulevard,,Maroochydore,QLD,4558,AU,Organization/example-healthconnect-organization-7
example-healthconnect-coverage-area-8,2025-09-08T10:00:00Z,active,Stirling Catchment,5 Stirling Road,,Stirling,SA,5152,AU,Organization/example-healthconnect-organization-8
example-healthconnect-coverage-area-9,2025-09-09T10:00:00Z,active,Perth Catchment,210 Hay Street,,Perth,WA,6000,AU,Organization/example-healthconnect-organization-9
example-healthconnect-coverage-area-10,2025-09-10T10:00:00Z,active,Geelong Catchment,34 Malop Street,,Geelong,VIC,3220,AU,Organization/example-healthconnect-organization-10
example-healthconnect-coverage-area-11,2025-09-11T10:00:00Z,active,Hobart Catchment,19 Salamanca Place,,Hobart,TAS,7000,AU,Organization/example-healthconnect-organization-11
example-healthconnect-coverage-area-12,2025-09-12T10:00:00Z,active,Darwin Catchment,7 Mitchell Street,,Darwin,NT,0800,AU,Organization/example-healthconnect-organization-12
example-healthconnect-coverage-area-13,2025-09-13T10:00:00Z,active,Ballarat Catchment,22 Sturt Street,,Ballarat,VIC,3350,AU,Organization/example-healthconnect-organization-13
example-healthconnect-coverage-area-14,2025-09-14T10:00:00Z,active,Cairns Catchment,45 The Esplanade,,Cairns,QLD,4870,AU,Organization/example-healthconnect-organization-14
example-healthconnect-coverage-area-15,2025-09-15T10:00:00Z,active,Newcastle Catchment,3 Hunter Street,,Newcastle,NSW,2300,AU,Organization/example-healthconnect-organization-15
