resource.id,title,description,meta.lastUpdated,status,connectionType.system,connectionType.code,connectionType.display,name,managingOrganization.reference,period.start,period.end,address,identifier.HCSMDTargetIdentifier.system,identifier.HCSMDTargetIdentifier.value,identifier.HCSourceIdentifier.system,identifier.HCSourceIdentifier.value,identifier.HCEndpointIdentifier.type,identifier.HCEndpointIdentifier.type.code,identifier.HCEndpointIdentifier.type.text,identifier.HCEndpointIdentifier.system,identifier.HCEndpointIdentifier.value,payloadType.system,payloadType.code,payloadType.display,payloadMimeType1,payloadMimeType2,payloadMimeType3,dataEnciphermentCertificate
example-healthconnect-endpoint-1,HC Endpoint Example: SMD Target,An example Endpoint with an SMD target identifier for secure messaging conforming to the HC Endpoint profile.,2025-09-01T10:00:00Z,#active,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Sydney General Hospital SMD Endpoint,Organization/example-healthconnect-organization-1,2022-01-01,2025-12-31,https://smd.sydneyhospital.org.au/secure-messaging/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567890,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567890,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567890,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,LS0tLS1CRUdJTiBDRVJUSUZJQ0FURS0tLS0tCk1JSURYVENDQWtXZ0F3SUJBZ0lKQU1mK0R6UjBWV
example-healthconnect-endpoint-2,HC Endpoint Example: Metro,Secure messaging endpoint for metro region.,2025-09-05T09:30:00Z,#off,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Metro Health SMD Endpoint,Organization/example-healthconnect-organization-2,2023-01-01,2026-12-31,https://smd.metrohealth.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567891,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567891,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567891,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV8y
example-healthconnect-endpoint-3,HC Endpoint Example: Coastal,Secure messaging endpoint for coastal network.,2025-09-06T11:15:00Z,#active,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Coastal Care SMD Endpoint,Organization/example-healthconnect-organization-3,2021-07-01,2027-06-30,https://smd.coastalcare.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567892,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567892,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567892,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV8z
example-healthconnect-endpoint-4,HC Endpoint Example: Regional,Secure messaging endpoint for regional hub.,2025-09-07T08:05:00Z,#suspended,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Regional Hub SMD Endpoint,Organization/example-healthconnect-organization-4,2022-04-01,2026-03-31,https://smd.regionalhub.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567893,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567893,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567893,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV80
example-healthconnect-endpoint-5,HC Endpoint Example: Western,Secure messaging endpoint for western catchment.,2025-09-08T16:20:00Z,#active,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Western Health SMD Endpoint,Organization/example-healthconnect-organization-5,2020-10-01,2028-09-30,https://smd.westernhealth.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567894,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567894,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567894,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV81
example-healthconnect-endpoint-6,HC Endpoint Example: NthRivers,Secure messaging endpoint for Northern Rivers Medical Group.,2025-09-06T10:00:00Z,#active,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Northern Rivers Medical Group SMD Endpoint,Organization/example-healthconnect-organization-6,2022-01-01,2027-12-31,https://smd.nthrivers.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567806,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567806,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567806,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV81
example-healthconnect-endpoint-7,HC Endpoint Example: SunCoast,Secure messaging endpoint for Sunshine Coast Health Partners.,2025-09-07T10:00:00Z,#off,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Sunshine Coast Health Partners SMD Endpoint,Organization/example-healthconnect-organization-7,2022-01-01,2027-12-31,https://smd.suncoast.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567807,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567807,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567807,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV81
example-healthconnect-endpoint-8,HC Endpoint Example: AdlHills,Secure messaging endpoint for Adelaide Hills Family Practice.,2025-09-08T10:00:00Z,#suspended,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Adelaide Hills Family Practice SMD Endpoint,Organization/example-healthconnect-organization-8,2022-01-01,2027-12-31,https://smd.adlhills.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567808,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567808,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567808,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV81
example-healthconnect-endpoint-9,HC Endpoint Example: PerthMetro,Secure messaging endpoint for Perth Metro Medical Centre.,2025-09-09T10:00:00Z,#active,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Perth Metro Medical Centre SMD Endpoint,Organization/example-healthconnect-organization-9,2022-01-01,2027-12-31,https://smd.perthmetro.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567809,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567809,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567809,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV81
example-healthconnect-endpoint-10,HC Endpoint Example: GeelongBay,Secure messaging endpoint for Geelong Bayside Clinic.,2025-09-10T10:00:00Z,#off,http://terminology.hl7.org.au/CodeSystem/endpoint-connection-type,secure-messaging,Secure Messaging,Geelong Bayside Clinic SMD Endpoint,Organization/example-healthconnect-organization-10,2022-01-01,2027-12-31,https://smd.geelongbay.example.au/endpoint,http://ns.electronichealth.net.au/smd/target,SMD001234567810,http://ns.electronichealth.net.au/id/source/nhsd,EP-NHSD-001234567810,http://terminology.hl7.org/CodeSystem/v2-0203,XX,Organization Identifier,http://digitalhealth.gov.au/fhir/hcpd/id/hcpd-local-identifier,EP001234567810,AustralianEndpointPayloadTypesCodeSystem,http://ns.hl7.org.au/hl7v2/profiles/HL7AU-OO-REF-SIMPLIFIED-201706,HL7 V2.4 REF message (Level 2),application/pdf,application/fhir+xml,application/fhir+json,Q0VSVElGSUNBVEVfREFUQV81
