resource.id,title,description,meta.lastUpdated,active,providedBy.reference,type.system,type.code,type.display,location.reference,name,appointmentRequired,coverageArea.reference,coverageArea.reference2,coverageArea.contained.id,coverageArea.contained.name,coverageArea.contained.address.line1,coverageArea.contained.address.city,coverageArea.contained.address.state,coverageArea.contained.address.postalCode,coverageArea.contained.address.country,endpoint.reference,activePeriod.start,activePeriod.end,referralInformation,iarLevel.system,iarLevel.code,iarLevel.display,daysOfWeek1,daysOfWeek2,daysOfWeek3,daysOfWeek4,daysOfWeek5,allDay,availableStartTime,availableEndTime,timeZone,identifier.HCSourceIdentifier.system,identifier.HCSourceIdentifier.value,identifier.value
example-healthconnect-healthcareservice-1,HC HealthcareService Example: Residential Aged Care,Residential aged care service conforming to HC HealthcareService profile.,2025-09-02T18:00:00Z,true,Organization/example-healthconnect-organization-1,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-1,Residential Aged Care Service,true,Location/example-healthconnect-coverage-area-1,,,,,,,,,Endpoint/example-healthconnect-endpoint-1,2022-01-01,2025-12-31,Referral required from a GP or specialist.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level3,Level 3 - Moderate intensity services,mon,tue,wed,thu,fri,false,08:00:00,17:30:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-001,HS001234567890
example-healthconnect-healthcareservice-2,HC HealthcareService Example: Family Medicine,Primary care service with two external coverage area references.,2025-09-03T09:10:00Z,true,Organization/example-healthconnect-organization-2,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-2,Family Medicine Clinic,false,Location/example-healthconnect-coverage-area-2,Location/example-healthconnect-coverage-area-3,,,,,,,,Endpoint/example-healthconnect-endpoint-2,2023-01-01,2026-12-31,,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level2,Level 2 - Low intensity services,mon,tue,wed,thu,fri,false,08:30:00,16:30:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-002,HS001234567891
example-healthconnect-healthcareservice-3,HC HealthcareService Example: Coastal Physiotherapy,Physiotherapy service with contained local coverage area.,2025-09-04T11:25:00Z,true,Organization/example-healthconnect-organization-3,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-3,Coastal Physiotherapy Service,true,,,contained-coverage-3,In-home Visit Catchment,South Coast Region,Wollongong,NSW,2500,AU,Endpoint/example-healthconnect-endpoint-3,2021-06-01,2027-06-30,Referral preferred for complex care.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level3,Level 3 - Moderate intensity services,mon,tue,wed,thu,fri,false,09:00:00,18:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-003,HS001234567892
example-healthconnect-healthcareservice-4,HC HealthcareService Example: Community Nursing,Community nursing with minimal optional data and single coverage area.,2025-09-05T07:45:00Z,false,Organization/example-healthconnect-organization-4,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-4,Community Nursing Team,true,Location/example-healthconnect-coverage-area-4,,,,,,,,,Endpoint/example-healthconnect-endpoint-4,2020-03-20,2026-03-31,,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level2,Level 2 - Low intensity services,mon,tue,wed,thu,fri,false,07:00:00,13:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-004,HS001234567893
example-healthconnect-healthcareservice-5,HC HealthcareService Example: After Hours Mental Health,After hours mental health service with both contained and external coverage areas.,2025-09-06T18:10:00Z,true,Organization/example-healthconnect-organization-5,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-5,After Hours Mental Health Service,true,Location/example-healthconnect-coverage-area-5,,contained-coverage-5,After Hours Catchment,Western Region,Dubbo,NSW,2830,AU,Endpoint/example-healthconnect-endpoint-5,2024-02-01,2028-02-01,After-hours referrals accepted via secure messaging.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level3,Level 3 - Moderate intensity services,mon,tue,wed,thu,fri,false,16:00:00,22:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-005,HS001234567894
example-healthconnect-healthcareservice-6,HC HealthcareService Example: Northern Rivers GP Clinic,Northern Rivers GP Clinic conforming to the HC HealthcareService profile.,2025-09-06T12:00:00Z,true,Organization/example-healthconnect-organization-6,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-6,Northern Rivers GP Clinic,true,Location/example-healthconnect-coverage-area-6,,,,,,,,,Endpoint/example-healthconnect-endpoint-6,2022-01-01,2027-12-31,After-hours referrals accepted via secure messaging.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level2,Level 2 - Low intensity services,mon,tue,wed,thu,fri,false,16:00:00,22:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-006,HS001234567896
example-healthconnect-healthcareservice-7,HC HealthcareService Example: Sunshine Coast Physiotherapy,Sunshine Coast Physiotherapy conforming to the HC HealthcareService profile.,2025-09-07T12:00:00Z,true,Organization/example-healthconnect-organization-7,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-7,Sunshine Coast Physiotherapy,true,Location/example-healthconnect-coverage-area-7,,,,,,,,,Endpoint/example-healthconnect-endpoint-7,2022-01-01,2027-12-31,After-hours referrals accepted via secure messaging.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level3,Level 3 - Moderate intensity services,mon,tue,wed,thu,fri,false,16:00:00,22:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-007,HS001234567897
example-healthconnect-healthcareservice-8,HC HealthcareService Example: Adelaide Hills Nursing Service,Adelaide Hills Nursing Service conforming to the HC HealthcareService profile.,2025-09-08T12:00:00Z,false,Organization/example-healthconnect-organization-8,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-8,Adelaide Hills Nursing Service,true,Location/example-healthconnect-coverage-area-8,,,,,,,,,Endpoint/example-healthconnect-endpoint-8,2022-01-01,2027-12-31,After-hours referrals accepted via secure messaging.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level2,Level 2 - Low intensity services,mon,tue,wed,thu,fri,false,16:00:00,22:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-008,HS001234567898
example-healthconnect-healthcareservice-9,HC HealthcareService Example: Perth Metro Psychology,Perth Metro Psychology conforming to the HC HealthcareService profile.,2025-09-09T12:00:00Z,true,Organization/example-healthconnect-organization-9,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-9,Perth Metro Psychology,true,Location/example-healthconnect-coverage-area-9,,,,,,,,,Endpoint/example-healthconnect-endpoint-9,2022-01-01,2027-12-31,After-hours referrals accepted via secure messaging.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level3,Level 3 - Moderate intensity services,mon,tue,wed,thu,fri,false,16:00:00,22:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-009,HS001234567899
example-healthconnect-healthcareservice-10,HC HealthcareService Example: Geelong Pathology Service,Geelong Pathology Service conforming to the HC HealthcareService profile.,2025-09-10T12:00:00Z,true,Organization/example-healthconnect-organization-10,http://snomed.info/sct,224891009,Healthcare services,Location/example-healthconnect-location-10,Geelong Pathology Service,true,Location/example-healthconnect-coverage-area-10,,,,,,,,,Endpoint/example-healthconnect-endpoint-10,2022-01-01,2027-12-31,After-hours referrals accepted via secure messaging.,https://healthterminologies.gov.au/fhir/CodeSystem/iar-levels-of-care-1,level2,Level 2 - Low intensity services,mon,tue,wed,thu,fri,false,16:00:00,22:00:00,Australia/Sydney,http://ns.electronichealth.net.au/id/source/pca,HS-PCA-010,HS001234567900
